32985,מבוא לשיטות נומריות,120405.01.5780.11, נווה אופיר,ד,17:00,18:45,,,תרגיל,0/20,
32985,מבוא לשיטות נומריות,120405.01.5780.12, נווה אופיר,ד,18:45,20:30,,,תרגיל,0/20,
34203,הסתברות לתלמידי מנע"ס,120706.10.5780.01, סקאר צבי,ג,18:45,20:30,,,שעור,0/85,
34203,הסתברות לתלמידי מנע"ס,120706.10.5780.11, סקאר צבי,ג,20:30,22:15,,,תרגיל,0/25,
32862,סטטיסטיקה למהנדסים,120711.10.5780.01, אנגלברג אבא,ב,18:00,19:30,,,שעור,0/--,
32862,סטטיסטיקה למהנדסים,120711.10.5780.11, אנגלברג אבא,ב,19:45,20:30,,,תרגיל,0/25,
32862,סטטיסטיקה למהנדסים,120711.10.5780.12, אנגלברג אבא,ב,17:00,17:45,,,תרגיל,0/25,
33261,סטטיסטיקה למהנדסים,120711.02.5780.01, פטרון עמיקם,ב,17:00,18:45,,,שעור,0/--,
33261,סטטיסטיקה למהנדסים,120711.02.5780.11, פטרון עמיקם,ב,18:45,19:30,,,תרגיל,0/25,
33261,סטטיסטיקה למהנדסים,120711.02.5780.12, פטרון עמיקם,א,18:00,18:45,,,תרגיל,0/25,
32990,סטטיסטיקה למנע"ס,120712.01.5780.01, קליין אלכסנדר,ג,17:00,18:45,,,שעור,0/--,
32990,סטטיסטיקה למנע"ס,120712.01.5780.11, נווה אופיר,ו,09:30,11:00,,,תרגיל,0/30,
32990,סטטיסטיקה למנע"ס,120712.01.5780.12, נווה אופיר,ו,11:15,12:45,,,תרגיל,0/30,
32992,מדידות אלקטרוניות,130111.01.5780.01, גולדברג בני,א,15:15,17:45,,,שעור,0/--,
32993,מוליכים למחצה,130201.01.5780.01, כהן מאיר,ה,17:00,19:30,,,שעור,0/--,
32993,מוליכים למחצה,130201.01.5780.11, כהן מאיר,ד,14:30,15:15,,,תרגיל,0/25,
32993,מוליכים למחצה,130201.01.5780.12, כהן מאיר,ד,15:15,16:00,,,תרגיל,0/25,
32994,אלקטרוניקה כללית,130211.01.5780.01, גולדברג בני,ד,16:15,18:45,,,שעור,0/--,
32994,אלקטרוניקה כללית,130211.01.5780.11, גולדברג בני,ד,18:45,19:30,,,תרגיל,0/25,
32994,אלקטרוניקה כללית,130211.01.5780.12, גולדברג בני,ג,14:30,15:15,,,תרגיל,0/25,
32995,מגברי שרת ומדידות אלקטרוניות,130232.01.5780.01, שטינמץ נתן,א,15:15,17:45,,,שעור,0/--,
32995,מגברי שרת ומדידות אלקטרוניות,130232.01.5780.11, שטינמץ נתן,א,14:30,15:15,,,תרגיל,0/--,
33001,מעבדה בתכנון ספרתי ממוחשב,130329.01.5780.21, שטרו אורי שלום ערן,ג,15:15,17:45,,,מעבדה,0/16,שנה ב
33001,מעבדה בתכנון ספרתי ממוחשב,130329.01.5780.22, שטרו אורי שלום ערן,ג,18:00,20:30,,,מעבדה,0/16,שנה ג
33003,מעבדה בעיבוד ספרתי של אותות ,130665.01.5780.01, מזרחי שמעון,ג,16:15,17:00,,,שעור,0/14,
33003,מעבדה בעיבוד ספרתי של אותות ,130665.01.5780.21, מזרחי שמעון,ג,17:00,19:30,,,מעבדה,0/14,
33006,ניתוח ועיבוד אותות,130685.01.5780.01, דוד מרסלו מרטין,ד,14:30,16:00,,,שעור,0/--,
33006,ניתוח ועיבוד אותות,130685.01.5780.11, דוד מרסלו מרטין,ד,16:15,17:00,,,תרגיל,0/--,
33008,שדות אלמ"ג ,130801.01.5780.01, פרישמן יבגני,ב,14:30,17:00,,,שעור,0/--,
33008,שדות אלמ"ג ,130801.01.5780.11, מנדלבאום יעקב,ד,14:30,15:15,,,תרגיל,0/25,
33008,שדות אלמ"ג ,130801.01.5780.12, מנדלבאום יעקב,ד,15:15,16:00,,,תרגיל,0/25,
33010,מעבדה בהתפשטות גלים ואנטנות,130833.01.5780.01, שטינמץ נתן לוי שמשון,ג,17:00,17:45,,,שעור,0/14,בחירה להספק
33010,מעבדה בהתפשטות גלים ואנטנות,130833.01.5780.02, רשימת המתנה אין לשבץ,ה,16:15,17:00,,,שעור,0/14,בחירה להספק
33010,מעבדה בהתפשטות גלים ואנטנות,130833.01.5780.21, שטינמץ נתן לוי שמשון,ג,18:00,20:30,,,מעבדה,0/14,בחירה להספק
33010,מעבדה בהתפשטות גלים ואנטנות,130833.01.5780.22, רשימת המתנה אין לשבץ,ה,17:00,19:30,,,מעבדה,0/14,בחירה להספק
33011,סמינר באלקטרוניקה,130891.01.5780.31, פרישמן יבגני,ב,18:00,19:30,,,סמינר,0/--,
33018,מיכשור אופטי,140121.01.5780.01, בן עזרא דוד,א,14:30,16:00,,,שעור,0/--,
33018,מיכשור אופטי,140121.01.5780.11, שינפלד דוד,ב,14:30,16:00,,,תרגיל,0/12,
33018,מיכשור אופטי,140121.01.5780.12, ברנר חיים,ג,18:00,19:30,,,תרגיל,0/12,
33019,עיבוד תמונות ממוחשב,140137.01.5780.01, מנדלבאום יעקב,א,18:00,18:45,,,שעור,0/--,
33019,עיבוד תמונות ממוחשב,140137.01.5780.11, מנדלבאום יעקב,א,18:45,20:30,,,תרגיל,0/18,
33020,מעבדה באופטיקה,140165.01.5780.21, עברי יואח,ג,14:30,17:45,,,מעבדה,0/8,
33020,מעבדה באופטיקה,140165.01.5780.22, בבצ'נקו אנטולי,ג,14:30,17:45,,,מעבדה,0/8,
33020,מעבדה באופטיקה,140165.01.5780.23, עברי יואח,א,16:15,19:30,,,מעבדה,0/8,
33021,אופטיקה פיסיקלית,140211.01.5780.01, שכטר יובל,ב,16:15,18:45,,,שעור,0/--,
33021,אופטיקה פיסיקלית,140211.01.5780.11, שכטר יובל,ד,14:30,15:15,,,תרגיל,0/20,
33021,אופטיקה פיסיקלית,140211.01.5780.12, שכטר יובל,ד,15:15,16:00,,,תרגיל,0/20,
33024,הנדסת מערכות משולבות,140321.01.5780.01, ברנר חיים,א,18:00,19:30,,,שעור,0/--,
33024,הנדסת מערכות משולבות,140321.01.5780.11, ברנר חיים,א,19:45,20:30,,,תרגיל,0/--,
33025,גלאי אור אופטיים,140411.01.5780.01, נח סלמן,ה,14:30,17:00,,,שעור,0/--,
33025,גלאי אור אופטיים,140411.01.5780.11, נח סלמן,ה,17:00,17:45,,,תרגיל,0/--,
33026,אופטיקה של מצב מוצק,140426.01.5780.01, נח סלמן,ב,14:30,16:00,,,שעור,0/--,
33026,אופטיקה של מצב מוצק,140426.01.5780.11, נח סלמן,ב,16:15,17:00,,,תרגיל,0/--,
33027,תקשורת אלקטרוני ואופטי,140712.01.5780.01, אריאלי יואל,א,15:15,17:00,,,שעור,0/--,
33027,תקשורת אלקטרוני ואופטי,140712.01.5780.11, אריאלי יואל,א,17:00,17:45,,,תרגיל,0/30,
33028,סמינר באלקטרו-אופטיקה,140811.01.5780.31, קרסנטי אבי,ג,14:30,15:15,,,סמינר,0/--,
33029,סמינר באלקטרו אופטיקה ב,140821.01.5780.31, קרסנטי אבי,ג,15:15,16:00,,,סמינר,0/--,
33034,פיסיקה כללית א' (מכניקה),141011.01.5780.01, ברנר חיים,א,14:30,17:00,,,שעור,0/85,
33034,פיסיקה כללית א' (מכניקה),141011.01.5780.01, ברנר חיים,ג,14:30,16:00,,,שעור,0/85,
33034,פיסיקה כללית א' (מכניקה),141011.01.5780.11, ברנר חיים,ג,16:15,17:00,,,תרגיל,0/25,
33037,פיסיקה ב,141034.01.5780.01, סוקול יהושע,א,16:15,17:45,,,שעור,0/85,
33037,פיסיקה ב,141034.01.5780.01, סוקול יהושע,ד,14:30,16:00,,,שעור,0/85,
33037,פיסיקה ב,141034.01.5780.11, פיוטרקובסקי מנשה,א,18:00,18:45,,,תרגיל,0/25,
33037,פיסיקה ב,141034.01.5780.12, פיוטרקובסקי מנשה,א,18:45,19:30,,,תרגיל,0/25,
33038,שדות אלמ"ג,141035.01.5780.01, מנדלבאום יעקב,ד,17:00,19:30,,,שעור,0/--,
33038,שדות אלמ"ג,141035.01.5780.11, גולדין שלמה,ג,18:00,18:45,,,תרגיל,0/--,
33040,פיסיקה כללית ג' (מודרנית),141041.01.5780.01, שכטר יובל,ה,17:00,19:30,,,שעור,0/--,
33040,פיסיקה כללית ג' (מודרנית),141041.01.5780.11, שכטר יובל,ב,18:45,19:30,,,תרגיל,0/--,
